patient,model,n_roi_channels,n_events,n_face,n_house,accuracy,macro_f1,roc_auc,permutation_true_accuracy,permutation_p_value,n_permutations,elapsed_sec
ap,EEGNet,28,300,150,150,0.8333333333333334,0.8333259255966932,0.918888888888889,,,0,45.46417188644409
zt,EEGNet,21,300,150,150,0.9866666666666667,0.9866660740477355,0.9978666666666667,,,0,56.131608963012695
aa,EEGNet,28,300,150,150,0.7566666666666667,0.7563390780938818,0.839911111111111,,,0,45.49512076377869
fp,EEGNet,7,300,150,150,0.7333333333333333,0.7323698648467818,0.7899555555555555,,,0,14.696041822433472
rr,EEGNet,32,200,100,100,0.86,0.86,0.9047000000000001,,,0,48.884202003479004
